# Pathway	4367_Abundance	4368_Abundance	4369_Abundance	4370_Abundance	4371_Abundance	4372_Abundance	4373_Abundance	4374_Abundance	4375_Abundance	4376_Abundance	4377_Abundance	4378_Abundance	4379_Abundance	4380_Abundance	4381_Abundance	4382_Abundance	4383_Abundance	4384_Abundance	4385_Abundance	4386_Abundance	4387_Abundance	4388_Abundance	4389_Abundance	4390_Abundance	4391_Abundance	4392_Abundance	4393_Abundance	4394_Abundance	4395_Abundance	4396_Abundance	4397_Abundance	4398_Abundance	4399_Abundance	4400_Abundance	4401_Abundance	4402_Abundance	4403_Abundance	4404_Abundance	4405_Abundance	4406_Abundance	4408_Abundance	4409_Abundance	4410_Abundance	4412_Abundance	4413_Abundance	4414_Abundance	4416_Abundance	4417_Abundance	4418_Abundance	4419_Abundance	4421_Abundance	4422_Abundance	4423_Abundance	4424_Abundance	4425_Abundance	4426_Abundance	4427_Abundance	4428_Abundance	4429_Abundance	4430_Abundance	4431_Abundance	4432_Abundance	4433_Abundance	4434_Abundance	4435_Abundance	4436_Abundance	4437_Abundance	4438_Abundance
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.000452679	0	0.000137964	0.000264114	0.000230908	0.000178921	0.000110855	1.28313e-05	0.000118311	0	0.000108222	0.000193392	0.000124937	8.28622e-05	0	0.000124462	0.000173641	0.000376232	0.000116704	6.9201e-05	0.000298324	0.00020905	0.000126507	0.000191927	0.000424162	0.000212947	0.000323689	0.000190605	0.000105934	0.000246	0.000351998	1.37819e-05	0.0002715	4.40903e-06	0.000174427	0.000255407	0.000331577	0.000355958	0.000104751	0	0.000102823	0	0.000288774	0.000279049	0.000185979	0.000182416	0.000183581	0.000236742	0.000243669	0.000100635	0.000178526	1.42148e-06	0.000354173	0.000213423	0.000308956	0.000298868	0.000325978	0.000209213	0.000318178	0.000320735	0.000342674	0.00034764	0.000325054	0.000285418	0.00025518	0.000268778	0.000191386	0.000249713
PENTOSE-P-PWY: pentose phosphate pathway	5.27402e-06	0	8.53884e-05	8.42778e-05	4.8027e-05	0.000214546	1.06088e-05	0.000115655	9.66192e-05	0.000266164	0.000392911	0.000138061	9.81434e-05	8.89512e-05	0.000102872	0.000217446	7.26432e-05	4.55964e-05	5.82681e-05	8.71628e-05	5.68894e-05	2.47621e-05	6.70362e-05	0.000213973	4.17152e-05	4.0471e-05	8.19412e-05	9.46854e-05	0.000144635	7.74656e-05	7.91537e-05	1.28098e-05	4.74738e-05	5.85799e-05	4.74799e-05	5.8084e-05	7.15167e-05	5.44835e-05	0.00021736	2.90828e-05	0.000104547	0	5.03132e-05	0.00024401	2.08182e-05	0.00013507	9.82215e-05	0.000221867	8.66509e-05	0.000118507	3.20616e-05	0.000342406	3.78771e-05	0.000106608	3.99095e-05	5.54093e-05	4.29745e-05	0.000107394	8.38457e-05	8.36955e-05	3.78893e-05	3.76391e-05	3.69048e-05	6.14212e-05	3.5975e-05	5.21031e-05	1.72322e-05	4.29033e-05
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	4.51294e-05	0	0.000435899	0.000416733	0.000235897	0.000431432	0.000687836	0.000700206	0.000576176	0.000269753	3.87919e-05	0.000328464	0.0006821	0.000510185	0	0.000208642	0.000434114	0.000606393	0.000730169	0.000734602	0.0010327	0.000761102	0.000707347	0.000478313	0.000715863	0.000197779	0.000521508	0.000232186	0.000243907	0.00072302	0.000687469	0.00073118	0.000633122	0.000211004	0.000121318	0.000575335	0.000676561	0.000617385	9.6525e-05	5.50103e-05	6.0394e-06	2.05085e-05	0.000572171	0.000555711	0.000188971	0.000441293	0.000348566	0.000529058	0.000535691	0.000243216	0.000195458	6.65701e-06	0.000678452	0.000640212	0.000655354	0.000786289	0.00062969	0.000621148	0.000583135	0.000599667	0.000664864	0.000658926	0.000648328	0.000686643	0.000713411	0.000684569	0.000471083	0.00070891
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	5.11968e-06	0	0.000145663	0.000150629	0.000183903	0.000141852	9.41801e-06	6.01808e-06	0.000152193	0.000289807	0.000426185	0.000222124	9.56901e-05	0.00011581	0.000122473	0.000339864	0.000112709	0.000159207	0.000116673	6.63872e-05	1.89186e-05	0.000238462	0.000103013	0.000201356	8.50192e-05	0.000206087	0.000302609	0.000227491	0.000162603	2.28414e-05	8.04487e-05	3.72882e-06	0.000135352	4.11652e-06	9.55705e-05	0.000149638	3.95111e-05	0.000249387	0.000180197	4.42844e-05	0.000136512	3.10005e-06	0.000162915	8.38086e-05	0.000335819	0.000102182	0.000205022	0.000216851	0.000104494	0.000137504	3.99407e-05	0.000273454	9.40443e-05	0.000144784	3.41805e-05	3.56427e-05	8.11513e-05	0.000154802	9.52314e-05	9.9133e-05	0.000101367	0.000123858	8.81139e-05	3.24369e-05	0.000104256	6.7184e-05	2.19477e-05	0.000125487
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	0	0	1.4055e-05	0	0	0	0	0	0	0	4.26954e-06	2.94753e-06	0	0	0	2.67871e-06	3.96142e-07	0	5.35532e-07	7.16062e-06	8.7763e-06	3.13813e-06	0	1.62356e-05	0	3.94456e-05	1.85267e-05	0	8.74606e-06	2.33475e-05	0	0	0	0	4.82489e-06	2.60316e-05	3.15543e-05	0	0	0	0	7.75126e-06	0	0	0	1.09662e-05	8.75752e-05	2.94829e-05	0	0	0	1.27427e-05	1.70643e-05	3.15777e-05	5.04629e-05	3.176e-05	1.96551e-05	6.18772e-05	5.66996e-05	1.84317e-05	2.75196e-05	2.75209e-05	2.27544e-05	2.70493e-05	3.92719e-05	2.42632e-06	2.85942e-05
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0	0	4.97803e-05	2.33297e-05	0.000169596	7.32141e-05	1.66762e-06	0	3.20938e-05	9.71488e-06	2.01819e-05	6.76013e-05	2.66461e-05	3.76506e-05	4.5137e-06	6.26727e-05	1.4027e-05	1.63436e-05	8.67095e-05	0.000721593	1.48246e-05	0.00016171	0.000282341	2.06859e-06	0.000286235	9.36014e-05	0.000174738	7.21508e-05	6.93389e-06	7.16598e-05	0.000169391	7.98242e-06	2.72343e-05	0	0	3.04551e-05	0.000109195	0.000127099	1.0894e-05	0	1.88473e-05	1.15398e-06	3.11081e-05	0.000208748	4.50112e-05	8.42928e-06	2.7651e-05	0.00011293	5.88922e-05	4.72261e-05	0	1.01574e-05	0.000120073	5.02302e-05	0.000136727	0.000251969	0.000140127	5.22737e-05	0.000129432	0.000128238	0.000119764	0.000186348	0.000207996	3.97995e-05	4.31178e-05	5.23169e-05	4.83808e-05	0.000210138
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	4.48999e-06	0	4.97568e-05	3.84431e-05	0.000150299	5.12888e-05	0	0	5.96316e-05	3.06675e-06	2.09123e-07	6.91984e-05	2.97201e-05	2.45708e-05	0	8.93081e-05	2.69156e-05	3.66269e-06	2.83781e-05	2.12125e-05	1.72764e-07	9.94344e-06	1.33728e-05	1.57363e-05	4.10663e-06	0.000185334	4.10392e-05	0.00012404	1.80838e-06	0	9.38599e-06	2.04423e-07	5.02447e-07	2.24877e-06	0	1.34513e-05	0	6.50767e-06	3.06109e-05	0	1.40597e-05	0	1.30982e-05	4.63246e-07	0.000137346	4.29586e-05	4.07969e-05	2.64337e-05	1.6397e-05	5.2689e-05	0	2.9728e-06	8.47177e-07	7.33331e-06	2.66852e-06	1.59201e-06	1.75742e-06	8.35785e-06	1.95867e-06	1.4068e-06	9.87299e-07	7.43891e-07	9.97801e-07	7.36357e-07	1.94271e-06	2.22944e-06	5.80253e-07	0
PPGPPMET-PWY: ppGpp biosynthesis	0	0	5.11628e-05	4.87072e-05	6.26032e-05	7.86196e-05	0	0	1.70224e-05	0.000302074	0.000362629	7.44082e-05	2.06148e-05	3.75812e-05	0.000133299	0.000246311	5.62128e-05	4.94615e-05	3.49413e-05	3.20529e-05	6.43359e-05	3.24864e-05	2.30359e-05	7.59271e-05	2.56413e-05	0	7.90115e-05	9.77446e-05	7.94656e-05	2.29893e-05	7.09753e-05	5.73802e-07	5.95564e-05	1.03468e-06	3.60945e-05	4.1972e-05	3.175e-05	5.56137e-05	0.000206411	5.04332e-05	0.000142219	6.05357e-07	4.12171e-05	3.91013e-05	0.000162186	1.67342e-05	6.46743e-05	2.82076e-05	3.94964e-05	6.99506e-05	4.04872e-05	0.000411814	5.06108e-05	1.36973e-05	2.06061e-05	3.46175e-05	2.20849e-05	1.49087e-05	3.17049e-05	3.27146e-05	1.70823e-05	3.27041e-05	1.68633e-05	1.70033e-05	2.67485e-06	1.42641e-05	5.02973e-06	4.15069e-05
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	0	0	0	5.78098e-07	2.59261e-05	0	0	0	0.000205924	8.22684e-05	0	5.07942e-06	3.82379e-06	5.91681e-05	0.000103414	0	0	0	1.41008e-07	0	0	0	0	0	0	0	7.31769e-06	4.02455e-05	0	0	0	0	1.49901e-06	0	0	0	0	0.000127456	0	4.2685e-05	0	0	2.10497e-05	1.4387e-06	0	0	5.85905e-07	6.51419e-06	1.31912e-06	1.23632e-05	0.000270127	0	1.4271e-06	0	1.4806e-07	0	1.13888e-06	5.05256e-07	4.80592e-07	0	0	1.06741e-07	0	0	5.8412e-07	0	0
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	1.12831e-06	0	0.000135266	0.000114897	8.49464e-05	0.000255878	6.03361e-05	6.19116e-06	0.000113692	0.000208366	8.5391e-05	8.5856e-05	0.000144006	9.05253e-05	1.35096e-05	0.000132848	0.000147849	0.000165179	0.000112107	4.03846e-05	8.27808e-05	0.000140068	7.90277e-05	2.95416e-05	0.000151867	5.23661e-06	0.000102783	9.90097e-05	8.68301e-05	1.76808e-05	0.000170138	0	7.777e-05	4.5851e-06	0	0.000118901	0.000135031	0.000171849	0.000125154	0	6.42514e-05	0	9.82711e-05	0.000137376	4.51034e-05	7.4443e-05	3.35612e-05	0.000228886	0.000169435	0.000113707	9.81702e-05	2.29836e-05	0.000143812	0.00011589	0.000129007	9.77659e-05	0.000119747	0.000107875	0.000139484	0.000133331	0.000107272	0.000136498	0.000100141	8.30534e-05	0.000101817	0.000114313	0.000146601	0.000135625
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80955e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.30226e-07	0	0	8.3093e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)	3.94382e-05	9.66725e-06	0.000253958	0.000482064	0.000306795	0.000279193	0.000713991	0.00014283	0.000355595	0.000246019	0.000245644	0.000278687	0.000307432	0.000282587	0.000272321	0.000248819	0.000404723	0.000710126	0.000303355	0.00114689	0.00075445	0.000697341	0.000592005	0.000387175	0.000946409	0.00020722	0.000663616	0.000212156	0.000173315	0.000569685	0.000808423	0.000431653	0.000728587	0.000547742	0.000402323	0.00056395	0.000770308	0.000797027	0.000126455	0	0.000152219	1.32568e-05	0.000654634	0.000519546	0.000323062	0.000215573	0.000168302	0.000386473	0.000417775	0.000246236	0.000240706	0.000233594	0.000873828	0.000383586	0.000746955	0.000998601	0.00078414	0.000355471	0.000682583	0.000687133	0.000739244	0.000844395	0.000783132	0.000546656	0.000352277	0.000404298	0.000460811	0.000705274
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	1.40155e-06	0	6.92636e-05	0.000121075	0.000179942	0.00011111	8.39845e-07	7.10064e-05	7.78133e-05	0	0.000231085	0.000139753	3.64461e-05	8.11829e-05	0	0.000171841	8.86679e-05	0.000109969	6.89591e-05	0.00063762	1.45363e-05	0.000157394	0.000226396	8.08062e-05	0.000212674	0.000216557	2.83016e-05	0.000111072	0.00013136	3.21808e-05	8.34851e-05	2.54317e-06	9.82509e-05	2.3244e-06	2.51784e-05	8.13181e-05	8.50928e-05	0.000153422	4.20208e-05	0	3.60081e-06	0	6.92532e-05	7.37519e-05	0.000181672	6.20046e-05	3.96651e-05	0.000154726	8.48185e-05	9.13551e-05	0	6.93604e-07	0.000121969	2.42762e-05	9.40537e-05	0.000122459	7.01636e-05	2.26059e-05	9.95912e-05	0.000100372	9.82253e-05	0.000139984	0.000162058	2.95722e-05	7.10674e-05	4.06886e-05	3.61617e-05	0.000171984
PWY-1622: formaldehyde assimilation I (serine pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37419e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-181: photorespiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35637e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	0	0	0	2.14602e-06	0	4.23307e-07	0	0	1.87506e-06	0	0	1.94871e-06	2.13264e-05	0	0	0	0	0	0	0	2.61866e-06	0	0	2.59935e-06	0	0	0	0	0	4.71428e-05	2.63172e-05	0	0	7.76974e-05	5.80588e-05	0	0	0	0	0	0	0	0	1.81945e-06	0	0	0	0	1.13929e-05	0	3.48099e-05	7.11271e-06	0	0.000276258	0	0	0	0.000273435	0	0	0	0	8.74553e-07	4.84581e-05	2.35071e-05	0.000110983	0	6.77659e-06
PWY-2201: folate transformations I	0	0	0	0	0	0	9.37466e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49555e-05	0	0	0	0	0	2.69374e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72782e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0	0	2.35658e-05	1.06107e-06	8.63352e-07	4.88735e-05	0	0	6.21279e-06	0	0	0	8.78181e-07	5.5744e-06	0	0	4.79321e-06	1.72034e-06	8.24908e-07	0	4.18305e-08	1.35385e-06	7.01474e-07	0	6.04401e-07	0	1.35356e-06	8.34949e-07	0	3.48812e-06	2.02316e-06	2.33805e-06	0	5.43582e-06	0	0	4.07834e-06	0	0	0	0	0	0	6.11302e-07	0	3.22391e-06	1.36534e-07	7.27193e-06	7.5228e-06	3.25105e-05	0	0	0	6.22672e-07	2.26179e-06	2.51075e-06	1.98017e-07	1.74927e-07	9.60358e-07	5.85791e-07	2.73394e-06	2.45759e-06	1.94442e-06	2.49134e-07	0	0	8.11612e-07	2.37582e-05
PWY-2723: trehalose degradation V	0	0	3.5831e-05	2.8652e-05	0.000137785	0	1.44191e-07	0	1.02133e-05	0	0	9.09846e-05	8.34307e-06	1.99012e-05	0	6.94047e-05	3.08498e-05	2.16305e-06	2.77464e-05	1.88407e-05	7.30313e-07	4.17834e-06	1.16247e-05	8.48623e-06	3.29808e-06	0.000103382	4.11899e-05	9.78378e-05	3.60292e-07	0	3.97819e-06	0	0	0	0	1.24357e-05	0	5.89088e-06	3.3344e-05	0	1.63605e-05	0	9.76306e-06	0	0.000113391	1.88825e-05	3.37935e-05	1.86414e-05	1.6644e-06	3.83795e-05	0	7.41504e-07	1.75465e-07	1.77749e-06	2.07298e-07	3.01315e-07	1.83015e-06	2.55537e-06	1.91505e-07	5.67513e-07	0	1.06035e-06	0	2.44215e-07	1.10521e-06	9.40891e-07	1.29988e-06	0
PWY-2941: L-lysine biosynthesis II	0.00100882	1.89679e-05	0.000436207	5.56474e-05	3.31641e-05	0.000413835	0.00037593	0.000454116	0.000329038	0.000160175	0	3.92968e-05	0.000528537	0.000171651	0	5.82479e-06	8.61713e-05	4.40033e-05	0.00020216	4.4781e-05	0.000212955	0.00018501	4.66355e-05	0.000344657	6.28678e-05	4.25778e-06	3.43927e-05	4.93929e-05	1.8304e-05	9.3102e-05	0.000450217	0.000231705	0.00010695	0.000714626	0.00012674	0.000101398	4.6446e-05	0.000155166	1.66107e-05	0	0	0.00190688	2.07465e-05	0.000507625	7.85257e-06	0.000333767	8.50764e-05	0.00010793	0.000170735	0.000232793	0.000164363	4.01325e-06	6.35913e-05	0.000216158	0.000106007	5.45145e-05	6.82695e-05	0.000206305	5.65803e-05	5.06069e-05	6.97022e-05	9.59394e-05	7.12363e-05	9.08561e-05	3.26734e-05	2.9329e-05	0.000145872	0.000150955
PWY-2942: L-lysine biosynthesis III	3.47594e-05	1.78258e-05	0.000527656	0.00035312	9.63596e-05	0.000450795	0.000578282	0.000857335	0.000434729	0.000166716	2.45442e-05	0.000277474	0.000534546	0.00049452	0	3.16522e-05	0.000402442	0.00056135	0.000291156	0.000807323	0.000500352	0.000616558	0.000456821	0.000383065	0.000621526	8.24534e-05	0.000405067	0.000157327	0.000236921	0.00052267	0.000514714	0.000725156	0.000510558	0.000754874	0.000128453	0.000471259	0.000530998	0.000489834	1.85367e-05	0	1.64512e-06	3.18189e-05	0.000415378	0.000534559	2.31122e-05	0.000436149	0.00030662	0.000393484	0.000412739	0.000262096	0.000174676	4.7867e-06	0.000494818	0.000544792	0.000500099	0.000542092	0.000489356	0.000539967	0.000437117	0.000444551	0.000520578	0.000529009	0.000537728	0.000586838	0.000774148	0.000657382	0.000328765	0.000623188
PWY-3001: superpathway of L-isoleucine biosynthesis I	1.85978e-05	0	0.000137516	0.000319646	0.000277952	0.000434407	0.0003755	3.85127e-06	0.000419892	0	3.10385e-05	0.000195013	0.000444082	0.00014203	0	0.000207144	0.000184098	0.000379677	0.000452754	0.000712765	0.000386127	0.00067145	0.000586549	0.000322312	0.000543475	5.21116e-05	0.000290181	0.00020187	0.00017331	0.000246331	0.000521069	8.14333e-05	0.000275913	0.000143799	0.000122643	0.000248282	0.000398006	0.000360128	0.000189549	5.04233e-05	3.64693e-05	1.12669e-05	0.000304573	0.000276612	0.000123413	0.000216877	0.000158163	0.000334813	0.000331454	0.000266271	0.000165466	0.000296357	0.000447759	0.000350741	0.000407851	0.000492	0.000416405	0.000338255	0.000360019	0.00036334	0.000402024	0.000396015	0.000402636	0.000319005	0.00021532	0.000257278	0.000342308	0.000378119
PWY-3502: superpathway of NAD biosynthesis in eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10913e-05	0	0	0	0	0	1.07602e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3661: glycine betaine degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97548e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.29722e-07	0	1.0936e-06	0	0	0	3.1687e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3781: aerobic respiration I (cytochrome c)	0	0	0	0	3.03032e-06	2.96418e-05	2.01064e-06	0	0	0	0	2.27678e-07	3.34418e-06	0	7.55337e-07	0	4.9064e-06	0	2.43461e-07	0	0	3.35008e-07	2.71566e-07	0	0	2.88807e-07	0	0	0	0	4.9661e-06	5.5399e-07	0	0	5.17761e-05	1.87844e-06	0	0	5.72789e-07	3.47267e-05	0.000118484	7.17842e-06	1.0991e-06	0	0	5.46228e-06	0.000106405	3.35426e-07	9.32994e-07	4.65356e-06	0	0	0	0	0	6.34235e-07	0	0	8.6886e-07	6.87485e-07	0	2.01941e-07	0	0	0	0	0	5.97024e-07
PWY-3801: sucrose degradation II (sucrose synthase)	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45649e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22482e-06	0	0	0	0	0	0	0	0	0	0	4.71455e-05	0	0	0	0	0	3.7232e-05	0	0	3.01398e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II	0.00118577	1.56279e-05	0.000300152	0.00025666	0.000146564	0.000353904	0.000172509	0.000580862	0.000358886	0.000280489	0.000329212	0.000221483	0.000490933	0.00031407	8.64934e-05	0.000162581	0.000252089	0.000382234	0.000404639	0.000564729	0.000226659	0.000400554	0.000603035	0.000409955	0.000389597	9.58704e-05	0.000204132	0.000150164	0.000228289	0.000258115	0.000468678	0.000561727	0.000326469	0.00037166	6.86299e-05	0.000298183	0.000391581	0.00031673	0.000178844	4.34569e-05	7.75832e-05	0.00217137	0.000245342	0.000434854	0.000158526	0.000159675	0.000146856	0.000355891	0.000285161	0.000123209	0.000115318	0.000282517	0.000319693	0.000284746	0.000331642	0.000335169	0.000293896	0.000292404	0.000304196	0.000320624	0.000346722	0.000324414	0.000354301	0.000296295	0.000358855	0.000309974	0.000263369	0.000154085
PWY-4041: &gamma;-glutamyl cycle	0	0	9.16527e-05	4.17004e-05	0.000412864	0.000161704	0	0	2.80998e-05	0.000327995	0.000163453	0.00018975	3.31984e-05	3.5869e-05	7.44527e-05	0.000337387	3.68067e-05	2.29001e-06	2.93312e-05	4.6775e-05	2.69666e-07	7.88297e-06	1.56079e-05	1.96185e-05	4.06071e-06	0.000276939	7.68268e-05	0.000213225	9.94279e-05	0	1.27625e-05	0	1.23895e-07	0.000138042	0	1.31462e-05	0	1.09802e-05	0.000378959	0	8.49818e-05	0	1.31428e-05	3.97557e-05	0.000251261	3.48702e-05	6.27982e-05	2.19954e-05	2.86276e-05	0.000105705	1.86481e-05	0.000510493	2.47401e-06	8.21971e-06	8.83129e-06	5.47859e-06	2.9855e-06	6.80912e-06	3.4038e-06	1.99211e-06	0	2.22655e-06	7.2064e-07	4.60023e-07	2.74284e-06	3.71942e-06	2.01001e-06	0
PWY-4242: pantothenate and coenzyme A biosynthesis III	2.93978e-06	0	0.000111999	0.000150165	0.000238099	0.000180207	7.99043e-05	3.62045e-06	6.27849e-05	0	3.89371e-05	0.000156569	0.000111642	4.37157e-05	0	0.000143716	8.18677e-05	0.000128741	0.000195429	3.26546e-05	7.54128e-05	2.7814e-05	4.17662e-05	2.57779e-05	6.29319e-05	0.00019175	0.000111617	0.00019485	2.05716e-05	5.09473e-05	0.00012755	5.84677e-06	2.33739e-05	3.38755e-05	0	8.19442e-05	9.5363e-05	6.03958e-05	5.67467e-05	0	0	2.10129e-06	0.000127604	0.000344607	0.00018915	0.000120377	0.000113732	0.000122575	0.000170621	0.000128705	0	7.12866e-07	8.72105e-05	0.000120789	8.05563e-05	4.72011e-05	0.000100193	0.000111772	0.000122615	0.000112692	9.87747e-05	8.39276e-05	8.22949e-05	0.000122513	0.000116009	0.000131722	0.000204038	5.29382e-05
PWY-4321: L-glutamate degradation IV	0	0	0	0	0	0	0	0	0	0	0	0	1.89288e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07429e-06	2.49636e-05	0	0	0	0	3.88771e-07	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	0	0	0	0	0	1.47118e-06	0	0	0	0	1.53633e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28222e-07	0	0	1.64127e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01426e-06	0	0	9.28663e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4702: phytate degradation I	0	0	3.49752e-05	2.26606e-05	0.000142571	4.99114e-06	2.53289e-06	0	7.5001e-06	0	0	7.29814e-05	7.51557e-06	1.72574e-05	0	5.29366e-05	2.10595e-05	1.58828e-06	1.45847e-05	8.49694e-06	0	5.3804e-06	6.31443e-06	5.68033e-06	1.07739e-06	0.000156801	3.0025e-05	0.000110962	2.78847e-07	0	3.38383e-06	0	4.75411e-08	0	0	6.66669e-06	3.29549e-06	3.77812e-06	1.65574e-05	0	0	0	7.03994e-06	0	0.000148604	1.10211e-05	1.84418e-05	9.78812e-06	3.11343e-06	3.4995e-05	0	1.264e-07	9.3419e-06	6.93595e-07	5.5283e-06	1.72095e-06	1.42252e-06	1.11028e-06	1.11044e-05	1.00091e-05	3.33622e-06	6.97029e-07	2.40439e-07	1.94655e-07	6.655e-07	6.66023e-07	2.46698e-05	0
PWY-4722: creatinine degradation II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42878e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4981: L-proline biosynthesis II (from arginine)	0.000793804	0	7.23557e-05	1.42932e-05	7.56443e-06	0.000280508	0.000298485	0.000166289	3.49744e-05	0.000139003	0.000312312	1.76387e-05	0.00041016	2.39465e-05	0	3.22762e-06	0.000156586	2.25638e-05	3.04618e-05	2.68249e-05	0.000343259	1.81706e-05	9.36126e-06	0.00031503	6.12846e-05	9.09557e-07	4.73182e-05	0.000215684	3.36066e-05	0.000124952	0.000318015	1.05133e-05	5.36269e-05	6.9424e-05	0.000207119	0.000174526	8.07294e-05	3.57896e-05	9.67414e-06	3.64382e-05	2.22461e-05	4.1768e-05	6.14385e-05	0.000254526	2.78628e-06	9.91208e-05	7.68661e-05	6.10709e-05	8.64351e-05	8.3674e-05	0.000222671	2.25467e-06	6.82368e-05	6.20506e-05	6.30126e-05	4.26874e-05	6.69359e-05	5.5323e-05	5.90214e-05	6.74648e-05	8.23169e-05	7.72802e-05	4.89325e-05	7.52957e-05	5.30754e-05	5.03676e-05	4.98868e-05	8.34457e-05
PWY-4984: urea cycle	0	0	4.43248e-06	2.53089e-05	0	5.01995e-06	3.21769e-07	3.7012e-06	3.06802e-06	0	0	0	0	4.35788e-05	0	0	6.50561e-06	3.25014e-05	6.42205e-06	2.37357e-05	2.80888e-05	7.49855e-06	1.66582e-06	3.08141e-06	7.47204e-06	0	1.24562e-06	0	3.12834e-05	4.42006e-06	8.5801e-06	0.000112033	1.60393e-05	0	0	1.04711e-05	1.94707e-05	1.70076e-05	0	0	1.34774e-05	0	2.74399e-05	3.56918e-07	0	9.93117e-06	1.54768e-05	1.98825e-05	8.03561e-06	0	0	0	4.02671e-05	5.02723e-05	1.76024e-05	2.55934e-05	2.60813e-05	4.99596e-05	2.44079e-05	2.59573e-05	1.65911e-05	2.33706e-05	1.19444e-05	3.25693e-05	2.93278e-05	2.21943e-05	1.31712e-05	1.10957e-05
PWY-5004: superpathway of L-citrulline metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.68987e-07	0	0	0	0	2.38885e-06	0	0	0	1.16968e-06	0	0	0	0	0	0	0	5.13993e-06	1.82974e-07	0
